Start,End,Speaker,Start in s,End in s,Duration in s
0:26:56.409168,0:27:02.623090,SPEAKER_07,1616.409168081494,1622.623089983022,6.2139219015280105
0:27:03.947368,0:27:27.292020,SPEAKER_07,1623.947368421053,1647.2920203735143,23.34465195246139
0:27:14.932088,0:27:15.186757,SPEAKER_11,1634.9320882852294,1635.1867572156198,0.2546689303903804
0:27:22.928693,0:27:23.404075,SPEAKER_11,1642.928692699491,1643.4040747028862,0.4753820033952252
0:27:27.461800,0:27:39.770798,SPEAKER_07,1647.4617996604416,1659.7707979626484,12.308998302206874
0:27:39.923599,0:27:39.991511,SPEAKER_07,1659.923599320883,1659.9915110356537,0.06791171477061653
0:27:39.991511,0:27:40.059423,SPEAKER_11,1659.9915110356537,1660.0594227504243,0.06791171477061653
0:27:42.011885,0:27:43.319185,SPEAKER_07,1662.0118845500851,1663.319185059423,1.3073005093378924
0:27:43.404075,0:27:43.828523,SPEAKER_07,1663.4040747028862,1663.8285229202038,0.42444821731760385
0:27:43.998302,0:27:46.392190,SPEAKER_07,1663.998302207131,1666.3921901528015,2.3938879456704854
0:27:46.833616,0:27:49.787776,SPEAKER_07,1666.8336162988116,1669.7877758913414,2.954159592529777
0:27:50.925297,0:27:52.300509,SPEAKER_07,1670.925297113752,1672.300509337861,1.3752122241089637
0:27:52.538200,0:27:56.748727,SPEAKER_07,1672.5382003395584,1676.748726655348,4.210526315789593
0:27:57.784380,0:28:05.186757,SPEAKER_12,1677.784380305603,1685.1867572156198,7.402376910016756
0:28:06.222411,0:28:07.444822,SPEAKER_12,1686.2224108658743,1687.444821731749,1.2224108658747355
0:28:07.750424,0:28:08.769100,SPEAKER_12,1687.7504244482175,1688.7691001697794,1.0186757215619764
0:28:09.278438,0:28:16.528014,SPEAKER_12,1689.2784380305602,1696.5280135823432,7.249575551782982
0:28:17.750424,0:28:22.674024,SPEAKER_12,1697.7504244482175,1702.6740237691001,4.9235993208826585
0:28:23.064516,0:28:28.887946,SPEAKER_12,1703.0645161290322,1708.8879456706281,5.823429541595942
0:28:30.263158,0:28:43.234295,SPEAKER_07,1710.263157894737,1723.2342954159594,12.971137521222317
0:28:40.874363,0:28:41.230900,SPEAKER_00,1720.874363327674,1721.230899830221,0.3565365025469873
0:28:43.268251,0:28:45.322581,SPEAKER_07,1723.268251273345,1725.3225806451615,2.054329371816493
0:28:45.865874,0:29:12.470289,SPEAKER_07,1725.8658743633277,1752.4702886247878,26.60441426146008
0:29:14.083192,0:29:16.307301,SPEAKER_12,1754.0831918505942,1756.307300509338,2.2241086587437167
0:29:16.358234,0:29:21.485569,SPEAKER_12,1756.358234295416,1761.4855687606114,5.127334465195418
0:29:21.994907,0:29:24.083192,SPEAKER_12,1761.9949066213921,1764.0831918505942,2.088285229202029
0:29:24.677419,0:29:30.976231,SPEAKER_12,1764.677419354839,1770.9762308998302,6.2988115449911675
0:29:32.249576,0:29:35.509338,SPEAKER_12,1772.249575551783,1775.5093378607812,3.2597623089982335
0:29:35.713073,0:29:36.629881,SPEAKER_12,1775.7130730050935,1776.6298811544993,0.9168081494058242
0:29:38.056027,0:29:43.455008,SPEAKER_07,1778.056027164686,1783.4550084889643,5.398981324278338
0:29:43.964346,0:29:56.867572,SPEAKER_07,1783.9643463497455,1796.8675721561972,12.903225806451701
0:29:57.648557,0:30:04.286927,SPEAKER_07,1797.6485568760613,1804.286926994907,6.638370118845614
0:30:02.945671,0:30:03.047538,SPEAKER_11,1802.9456706281835,1803.0475382003397,0.10186757215615216
0:30:04.983022,0:30:09.346350,SPEAKER_07,1804.9830220713075,1809.3463497453313,4.363327674023822
0:30:09.617997,0:30:12.809847,SPEAKER_07,1809.6179966044142,1812.8098471986418,3.191850594227617
0:30:13.760611,0:30:17.971138,SPEAKER_12,1813.7606112054332,1817.9711375212223,4.210526315789139
0:30:18.735144,0:30:18.803056,SPEAKER_02,1818.735144312394,1818.803056027165,0.06791171477107127
0:30:18.803056,0:30:19.006791,SPEAKER_12,1818.803056027165,1819.0067911714773,0.20373514431230433
0:30:19.006791,0:30:20.704584,SPEAKER_02,1819.0067911714773,1820.7045840407472,1.6977928692699606
0:30:21.230900,0:30:24.558574,SPEAKER_02,1821.230899830221,1824.5585738539899,3.32767402376885
0:30:25.865874,0:30:27.563667,SPEAKER_03,1825.8658743633277,1827.5636672325977,1.6977928692699606
0:30:28.259762,0:30:31.027165,SPEAKER_03,1828.2597623089982,1831.0271646859082,2.767402376910013
0:30:31.468591,0:30:33.794567,SPEAKER_04,1831.4685908319184,1833.7945670628183,2.325976230899869
